observatorio name,item code,item
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.04,PREMIOS NO RECLAMADOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.04.001,PREMIOS DE JUEGOS DE SUERTE Y AZAR
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.04.002,PREMIOS DE LOTERIAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.04.003,PREMIOS DE APUESTAS PERMANENTES O CHANCE
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.04.004,PREMIOS DE JUEGOS NOVEDOSOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.05,REEMBOLSO FONDO DE CONTINGENCIAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.06.001,FONDO DE SUBSIDIO DE LA SOBRETASA A LA GASOLINA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.06.003,CONDICIONADAS A LA DISMINUCION DE UN PASIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.09,RECUPERACION DE CARTERA - PRESTAMOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.09.02,DE OTRAS ENTIDADES DE GOBIERNO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.09.03,DE PERSONAS NATURALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.09.04,DE OTRAS EMPRESAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.09.05,RECUPERACION CUOTAS PARTES PENSIONALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.10,RECURSOS DEL BALANCE
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.10.01,CANCELACION RESERVAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.10.02,SUPERAVIT FISCAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12,RETIROS FONPET
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.01,PARA EL PAGO DE BONOS PENSIONALES O CUOTAS PARTES DE BONOS PENSIONALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.01.001,PARA EL PAGO DE BONOS Y CUOTAS PARTES DE BONOS PENSIONALES A Y B
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.01.002,PARA EL PAGO DE BONOS Y CUOTAS PARTES DE BONOS PENSIONALES C Y E
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.02,PARA EL CRUCE Y PAGO DE CUOTAS PARTES PENSIONALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.03,PARA EL PAGO DE LA DEUDA POR DOCENTES AL FONDO DE PRESTACIONES SOCIALES DEL MAGISTERIO FPSM
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.03.001,PARA EL PAGO DEL PASIVO PENSIONAL CORRIENTE
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.03.002,PARA EL PAGO DEL MONTO CONSOLIDADO DE LA DEUDA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.04,RECURSOS DE LOTTO EN LINEA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.04.001,PARA PAGAR EL PASIVO PENSIONAL CON EL SECTOR SALUD
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.04.002,PARA INVERTIR EN LA ATENCION DE LOS SERVICIOS DE SALUD
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.05,POR EL REEMBOLSO DE PAGO DE BONOS PENSIONALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.06,POR LA DEVOLUCION DE CONSIGNACION ERRONEA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.07,POR EL RETIRO DE RECURSOS HASTA POR EL 30% DEL SALDO EN CUENTA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.08,DEL EXCEDENTE DEL CUBRIMIENTO DEL PASIVO PENSIONAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.09,PARA EL PAGO DE OBLIGACIONES PENSIONALES CORRIENTES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.10,POR LA DEVOLUCION DE RECURSOS SGP PROPOSITO GENERAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.12.11,POR LA DEVOLUCION DE RECURSOS SGR
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.13,REINTEGROS Y OTROS RECURSOS NO APROPIADOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.13.01,REINTEGROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.13.02,RECURSOS NO APROPIADOS
Ingresos corrientes,1.1,INGRESOS CORRIENTES
Ingresos corrientes,1.1.01,INGRESOS TRIBUTARIOS
Ingresos corrientes,1.1.01.01,IMPUESTOS DIRECTOS
Ingresos corrientes,1.1.01.01.014,SOBRETASA AMBIENTAL
Ingresos corrientes,1.1.01.01.014.01,SOBRETASA AMBIENTAL - URBANO
Ingresos corrientes,1.1.01.01.014.02,SOBRETASA AMBIENTAL -RURAL
Ingresos corrientes,1.1.01.01.100,IMPUESTO SOBRE VEHICULOS AUTOMOTORES
Ingresos corrientes,1.1.01.01.101,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS
Ingresos corrientes,1.1.01.01.200,IMPUESTO PREDIAL UNIFICADO
Ingresos corrientes,1.1.01.01.200.01,IMPUESTO PREDIAL UNIFICADO - URBANO
Ingresos corrientes,1.1.01.01.200.02,IMPUESTO PREDIAL UNIFICADO - RURAL
Ingresos corrientes,1.1.01.01.201,SOBRETASA AMBIENTAL AREAS METROPOLITANAS
Ingresos corrientes,1.1.01.01.203,SOBRETASA POR EL ALUMBRADO PUBLICO
Ingresos corrientes,1.1.01.02,IMPUESTOS INDIRECTOS
Ingresos corrientes,1.1.01.02.100,IMPUESTO DE REGISTRO
Ingresos corrientes,1.1.01.02.100.01,IMPUESTO DE REGISTRO - CAMARAS DE COMERCIO
Ingresos corrientes,1.1.01.02.100.02,IMPUESTO DE REGISTRO - OFICINAS DE INSTRUMENTOS PUBLICOS
Ingresos corrientes,1.1.01.02.101,IMPUESTO DE LOTERIAS FORANEAS
Ingresos corrientes,1.1.01.02.102,IMPUESTO AL DEGÃœELLO DE GANADO MAYOR
Ingresos corrientes,1.1.01.02.103,"IVA SOBRE LICORES, VINOS, APERITIVOS Y SIMILARES REGIMEN ANTERIOR"
Ingresos corrientes,1.1.01.02.104,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES"
Ingresos corrientes,1.1.01.02.104.01,IMPUESTO AL CONSUMO DE LICORES
Ingresos corrientes,1.1.01.02.104.01.01,IMPUESTO AL CONSUMO DE LICORES - COMPONENTE ESPECIFICO
Ingresos corrientes,1.1.01.02.104.01.02,IMPUESTO AL CONSUMO DE LICORES - COMPONENTE AD VALOREM
Ingresos corrientes,1.1.01.02.104.02,"IMPUESTO AL CONSUMO DE VINOS, APERITIVOS Y SIMILARES"
Ingresos corrientes,1.1.01.02.104.02.01,"IMPUESTO AL CONSUMO DE VINOS, APERITIVOS Y SIMILARES - COMPONENTE ESPECIFICO"
Ingresos corrientes,1.1.01.02.104.02.02,"IMPUESTO AL CONSUMO DE VINOS, APERITIVOS Y SIMILARES - COMPONENTE AD VALOREM"
Ingresos corrientes,1.1.01.02.105,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS"
Ingresos corrientes,1.1.01.02.105.01,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS - NACIONALES"
Ingresos corrientes,1.1.01.02.105.02,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS - EXTRANJERAS"
Ingresos corrientes,1.1.01.02.106,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO
Ingresos corrientes,1.1.01.02.106.01,COMPONENTE ESPECIFICO DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO
Ingresos corrientes,1.1.01.02.106.01.01,COMPONENTE ESPECIFICO DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO - NACIONALES
Ingresos corrientes,1.1.01.02.106.01.02,COMPONENTE ESPECIFICO DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO - EXTRANJEROS
Ingresos corrientes,1.1.01.02.106.02,COMPONENTE AD VALOREM DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO ELABORADO
Ingresos corrientes,1.1.01.02.106.02.01,COMPONENTE AD VALOREM DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO ELABORADO - NACIONALES
Ingresos corrientes,1.1.01.02.106.02.02,COMPONENTE AD VALOREM DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO ELABORADO - EXTRANJEROS
Ingresos corrientes,1.1.01.02.107,"IMPUESTO UNICO AL CONSUMO A FAVOR DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA"
Ingresos corrientes,1.1.01.02.108,SOBRETASA FONDO DEPARTAMENTAL DE BOMBEROS
Ingresos corrientes,1.1.01.02.109,SOBRETASA A LA GASOLINA
Ingresos corrientes,1.1.01.02.200,IMPUESTO DE INDUSTRIA Y COMERCIO
Ingresos corrientes,1.1.01.02.200.01,IMPUESTO DE INDUSTRIA Y COMERCIO - SOBRE ACTIVIDADES COMERCIALES
Ingresos corrientes,1.1.01.02.200.02,IMPUESTO DE INDUSTRIA Y COMERCIO - SOBRE ACTIVIDADES INDUSTRIALES
Ingresos corrientes,1.1.01.02.200.03,IMPUESTO DE INDUSTRIA Y COMERCIO - SOBRE ACTIVIDADES DE SERVICIOS
Ingresos corrientes,1.1.01.02.201,IMPUESTO COMPLEMENTARIO DE AVISOS Y TABLEROS
Ingresos corrientes,1.1.01.02.202,IMPUESTO A LA PUBLICIDAD EXTERIOR VISUAL
Ingresos corrientes,1.1.01.02.203,IMPUESTO DE CIRCULACION Y TRANSITO SOBRE VEHICULOS DE SERVICIO PUBLICO
Ingresos corrientes,1.1.01.02.204,IMPUESTO DE DELINEACION
Ingresos corrientes,1.1.01.02.205,IMPUESTO DE ESPECTACULOS PUBLICOS NACIONAL CON DESTINO AL DEPORTE
Ingresos corrientes,1.1.01.02.206,IMPUESTO A LAS VENTAS POR EL SISTEMA DE CLUBES
Ingresos corrientes,1.1.01.02.207,IMPUESTO DE CASINOS
Ingresos corrientes,1.1.01.02.208,IMPUESTO SOBRE APUESTAS MUTUAS
Ingresos corrientes,1.1.01.02.209,IMPUESTO AL DEGÃœELLO DE GANADO MENOR
Ingresos corrientes,1.1.01.02.210,IMPUESTO SOBRE TELEFONOS
Ingresos corrientes,1.1.01.02.211,IMPUESTO DE ALUMBRADO PUBLICO
Ingresos corrientes,1.1.01.02.212,SOBRETASA BOMBERIL
Ingresos corrientes,1.1.01.02.213,SOBRETASA FONDO DE SEGURIDAD
Ingresos corrientes,1.1.01.02.214,IMPUESTO DE TRANSPORTE POR OLEODUCTOS Y GASODUCTOS
Ingresos corrientes,1.1.01.02.215,"IMPUESTO UNIFICADO DE FONDO DE POBRES, AZAR Y ESPECTACULOS PUBLICOS"
Ingresos corrientes,1.1.01.02.216,IMPUESTO DE ESPECTACULOS PUBLICOS MUNICIPAL
Ingresos corrientes,1.1.01.02.217,"SOBRETASA DE SOLIDARIDAD SERVICIOS PUBLICOS ACUEDUCTO, ASEO Y ALCANTARILLADO"
Ingresos corrientes,1.1.01.02.217.01,SOBRETASA DE SOLIDARIDAD DE SERVICIOS PUBLICOS - ACUEDUCTO
Ingresos corrientes,1.1.01.02.217.02,SOBRETASA DE SOLIDARIDAD DE SERVICIOS PUBLICOS - ASEO
Ingresos corrientes,1.1.01.02.217.03,SOBRETASA DE SOLIDARIDAD DE SERVICIOS PUBLICOS - ALCANTARILLADO
Ingresos corrientes,1.1.01.02.218,TASA PRODEPORTE Y RECREACION
Ingresos corrientes,1.1.01.02.300,ESTAMPILLAS
Ingresos corrientes,1.1.01.02.300.01,ESTAMPILLA PARA EL BIENESTAR DEL ADULTO MAYOR
Ingresos corrientes,1.1.01.02.300.02,ESTAMPILLA PRO DESARROLLO DEPARTAMENTAL
Ingresos corrientes,1.1.01.02.300.03,ESTAMPILLA PRO DESARROLLO FRONTERIZO
Ingresos corrientes,1.1.01.02.300.04,ESTAMPILLA FONDO DEPARTAMENTAL DE BOMBEROS
Ingresos corrientes,1.1.01.02.300.05,ESTAMPILLA PRO ELECTRIFICACION RURAL
Ingresos corrientes,1.1.01.02.300.06,ESTAMPILLA PRO DESARROLLO DE LA UNIVERSIDAD DE LA AMAZONIA
Ingresos corrientes,1.1.01.02.300.08,ESTAMPILLA PRO CIUDADELA UNIVERSITARIA DEL ATLANTICO
Ingresos corrientes,1.1.01.02.300.09,ESTAMPILLA UNIVERSIDAD DE CALDAS Y UNIVERSIDAD NACIONAL SEDE MANIZALES
Ingresos corrientes,1.1.01.02.300.10,ESTAMPILLA UNIVERSIDAD DE CARTAGENA
Ingresos corrientes,1.1.01.02.300.15,ESTAMPILLA PRO DESARROLLO DE LA UNIVERSIDAD DE CORDOBA
Ingresos corrientes,1.1.01.02.300.16,ESTAMPILLA PRO DESARROLLO UNIVERSIDAD DE CUNDINAMARCA
Ingresos corrientes,1.1.01.02.300.17,ESTAMPILLA PRO UNIVERSIDAD DE LA GUAJIRA
Ingresos corrientes,1.1.01.02.300.19,ESTAMPILLA REFUNDACION UNIVERSIDAD DEL MAGDALENA
Ingresos corrientes,1.1.01.02.300.21,ESTAMPILLA PRO DESARROLLO DE LA UNIVERSIDAD PUBLICA DEL NORTE DE SANTANDER
Ingresos corrientes,1.1.01.02.300.22,ESTAMPILLA PRO UNIVERSIDAD DEL PACIFICO
Ingresos corrientes,1.1.01.02.300.23,ESTAMPILLA PRO DESARROLLO DEL INSTITUTO TECNICO DEL PUTUMAYO
Ingresos corrientes,1.1.01.02.300.25,ESTAMPILLA PRO UNIVERSIDAD INDUSTRIAL DE SANTANDER
Ingresos corrientes,1.1.01.02.300.26,ESTAMPILLA DE LA UNIVERSIDAD DE SUCRE
Ingresos corrientes,1.1.01.02.300.27,ESTAMPILLA PRO DESARROLLO DE LA UNIVERSIDAD SURCOLOMBIANA DEL HUILA
Ingresos corrientes,1.1.01.02.300.28,ESTAMPILLA PRO UNIVERSIDAD DEL TOLIMA
Ingresos corrientes,1.1.01.02.300.30,ESTAMPILLA PRO UNIVERSIDAD DEL VALLE
Ingresos corrientes,1.1.01.02.300.31,ESTAMPILLA PRO UNIVERSIDAD TECNOLOGICA DE PEREIRA
Ingresos corrientes,1.1.01.02.300.33,ESTAMPILLA UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
Ingresos corrientes,1.1.01.02.300.34,"ESTAMPILLA PRO DESARROLLO DEL INSTITUTO TECNOLOGICO DE SOLEDAD, ATLANTICO"
Ingresos corrientes,1.1.01.02.300.35,ESTAMPILLA PRO DESARROLLO UNIDAD CENTRAL DEL VALLE DEL CAUCA
Ingresos corrientes,1.1.01.02.300.38,ESTAMPILLA PRO HOSPITALES PRIMER Y SEGUNDO NIVEL DEL ATLANTICO
Ingresos corrientes,1.1.01.02.300.40,ESTAMPILLA PRO HOSPITALES PUBLICOS DE ANTIOQUIA
Ingresos corrientes,1.1.01.02.300.41,ESTAMPILLA PRO HOSPITALES DEL GUAVIARE
Ingresos corrientes,1.1.01.02.300.42,ESTAMPILLA PRO SALUD DEPARTAMENTAL DEL VALLE DEL CAUCA
Ingresos corrientes,1.1.01.02.300.44,ESTAMPILLAS PRO HOSPITALES UNIVERSITARIOS
Ingresos corrientes,1.1.01.02.300.47,ESTAMPILLA PRO SALUD VAUPES
Ingresos corrientes,1.1.01.02.300.49,ESTAMPILLA DE FOMENTO TURISTICO DEL META
Ingresos corrientes,1.1.01.02.300.52,ESTAMPILLA TOLIMA 150 AÃ‘OS DE CONTRIBUCION A LA GRANDEZA DE COLOMBIA
Ingresos corrientes,1.1.01.02.300.55,ESTAMPILLA PRO CULTURA
Ingresos corrientes,1.1.01.02.300.56,ESTAMPILLA PRO DESARROLLO URBANO DE SANTIAGO DE CALI
Ingresos corrientes,1.1.01.02.300.57,ESTAMPILLA HOMENAJE A CARLOS E. RESTREPO
Ingresos corrientes,1.1.01.02.300.58,ESTAMPILLA PRO HOSPITALES PUBLICOS DEL DISTRITO DE BUENAVENTURA
Ingresos corrientes,1.1.01.02.300.60,ESTAMPILLA PRO UNITROPICO
Ingresos corrientes,1.1.02,INGRESOS NO TRIBUTARIOS
Ingresos corrientes,1.1.02.01,CONTRIBUCIONES
Ingresos corrientes,1.1.02.01.003,CONTRIBUCIONES ESPECIALES
Ingresos corrientes,1.1.02.01.003.01,CUOTA DE FISCALIZACION Y AUDITAJE
Ingresos corrientes,1.1.02.01.005,CONTRIBUCIONES DIVERSAS
Ingresos corrientes,1.1.02.01.005.39,CONTRIBUCION DE VALORIZACION
Ingresos corrientes,1.1.02.01.005.59,CONTRIBUCION ESPECIAL SOBRE CONTRATOS DE OBRAS PUBLICAS
Ingresos corrientes,1.1.02.01.005.61,CONTRIBUCION DE INFRAESTRUCTURA VIAL Y DE TRANSPORTE
Ingresos corrientes,1.1.02.01.005.62,CONTRIBUCION DE INFRAESTRUCTURA PUBLICA TURISTICA
Ingresos corrientes,1.1.02.01.005.63,PARTICIPACION EN LA PLUSVALIA
Ingresos corrientes,1.1.02.01.005.64,CONTRIBUCION SECTOR ELECTRICO
Ingresos corrientes,1.1.02.01.005.64.01,CONTRIBUCION SECTOR ELECTRICO - GENERADORES DE ENERGIA CONVENCIONAL
Ingresos corrientes,1.1.02.01.005.64.02,CONTRIBUCION SECTOR ELECTRICO - GENERADORES DE ENERGIA NO CONVENCIONAL
Ingresos corrientes,1.1.02.01.005.65,CONCURSO ECONOMICO - ESTRATIFICACION
Ingresos corrientes,1.1.02.01.005.70,PAGOS EN DINERO POR DERECHOS DE CONSTRUCCION Y DESARROLLO
Ingresos corrientes,1.1.02.01.005.72,CARGAS U OBLIGACIONES URBANISTICAS COMPENSADAS EN DINERO
Ingresos corrientes,1.1.02.01.005.74,CONTRIBUCION DE SEMAFORIZACION - CUENTA BAJO PRESUNCION DE LEGALIDAD (BOGOTA)
Ingresos corrientes,1.1.02.02,TASAS Y DERECHOS ADMINISTRATIVOS
Ingresos corrientes,1.1.02.02.002,EXPEDICION DE PASAPORTES
Ingresos corrientes,1.1.02.02.015,CERTIFICACIONES Y CONSTANCIAS
Ingresos corrientes,1.1.02.02.033,PEAJES
Ingresos corrientes,1.1.02.02.052,DERECHOS DE AERODROMO
Ingresos corrientes,1.1.02.02.053,TASAS AEROPORTUARIAS
Ingresos corrientes,1.1.02.02.063,CERTIFICADOS CATASTRALES
Ingresos corrientes,1.1.02.02.084,TASAS FONDOS DE SEGURIDAD
Ingresos corrientes,1.1.02.02.086,TASA CONTRIBUTIVA POR CONCEPTO DE CONTAMINACION AMBIENTAL
Ingresos corrientes,1.1.02.02.087,TASAS POR EL DERECHO DE PARQUEO SOBRE LAS VIAS PUBLICAS
Ingresos corrientes,1.1.02.02.088,TASA RETRIBUTIVA
Ingresos corrientes,1.1.02.02.089,TASA POR APROVECHAMIENTO FORESTAL
Ingresos corrientes,1.1.02.02.091,TASAS POR LA ACTIVIDAD PESQUERA
Ingresos corrientes,1.1.02.02.092,TASA POR INGRESO A LAS SALINAS DE ZIPAQUIRA
Ingresos corrientes,1.1.02.02.093,DERECHOS DE TRANSITO EN AREAS RESTRINGIDAS O DE ALTA CONGESTION
Ingresos corrientes,1.1.02.02.094,COBROS POR ESTACIONAMIENTO EN ESPACIO PUBLICO O EN LOTES DE PARQUEO
Ingresos corrientes,1.1.02.02.095,PLAZA DE MERCADO
Ingresos corrientes,1.1.02.02.096,CONTRAPRESTACION DE LAS ZONAS DE USO PUBLICO - MUNICIPIOS PORTUARIOS MARITIMOS
Ingresos corrientes,1.1.02.02.097,PUNTO DE CONTROL TURISTICO
Ingresos corrientes,1.1.02.02.098,TARJETA DE TURISTA
Ingresos corrientes,1.1.02.02.099,TARJETA DE RESIDENTE
Ingresos corrientes,1.1.02.02.100,EXPEDICION DE LICENCIAS DE FUNCIONAMIENTO DE EQUIPOS DE RAYOS X
Ingresos corrientes,1.1.02.02.101,AUTORIZACION DE MANEJO DE MEDICAMENTOS DE CONTROL ESPECIAL DEL ESTADO
Ingresos corrientes,1.1.02.02.102,DERECHOS DE TRANSITO
Ingresos corrientes,1.1.02.02.110,SOBRETASA AMBIENTAL - PEAJES
