item,item code
APORTES A LA SEGURIDAD SOCIAL EN SALUD,2.1.1.01.02.020.02
APORTES DE CESANTIAS,2.1.1.01.02.020.03
APORTES A CAJAS DE COMPENSACION FAMILIAR,2.1.1.01.02.020.04
APORTES GENERALES AL SISTEMA DE RIESGOS LABORALES,2.1.1.01.02.020.05
APORTES AL ICBF,2.1.1.01.02.020.06
APORTES AL SENA,2.1.1.01.02.020.07
APORTES A LA ESAP,2.1.1.01.02.020.08
APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS,2.1.1.01.02.020.09
REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,2.1.1.01.03
PRESTACIONES SOCIALES,2.1.1.01.03.001
VACACIONES,2.1.1.01.03.001.01
INDEMNIZACION POR VACACIONES,2.1.1.01.03.001.02
BONIFICACION ESPECIAL DE RECREACION,2.1.1.01.03.001.03
SUBSIDIO FAMILIAR,2.1.1.01.03.001.04
VACACIONES DE DIPUTADOS,2.1.1.01.03.001.05
BONIFICACION DE DIRECCION,2.1.1.01.03.002
BONIFICACION DE DIRECCION PARA GOBERNADORES Y ALCALDES,2.1.1.01.03.003
BONIFICACION DE GESTION TERRITORIAL PARA ALCALDES,2.1.1.01.03.004
RECONOCIMIENTO POR PERMANENCIA EN EL SERVICIO PUBLICO - BOGOTA D.C.,2.1.1.01.03.005
HONORARIOS CONCEJALES,2.1.1.01.03.006
HONORARIOS EDILES,2.1.1.01.03.007
SUBSIDIO DE TRANSPORTE A PERSONEROS,2.1.1.01.03.008
PRIMA TECNICA NO SALARIAL,2.1.1.01.03.009
PRIMA DE RIESGO,2.1.1.01.03.012
ESTIMULOS A LOS EMPLEADOS DEL ESTADO,2.1.1.01.03.020
PRIMA DE COORDINACION,2.1.1.01.03.023
PRIMA SECRETARIAL,2.1.1.01.03.068
APOYO DE SOSTENIMIENTO APRENDICES SENA,2.1.1.01.03.069
PRIMA SEMESTRAL,2.1.1.01.03.074
PRIMA DE ACTIVIDAD,2.1.1.01.03.075
PRIMA DE ALIMENTACION,2.1.1.01.03.079
AUXILIO DE MOVILIZACION,2.1.1.01.03.083
PRIMA O AUXILIO DE MATERNIDAD,2.1.1.01.03.093
PRIMA DE TRANSPORTE Y MANUTENCION,2.1.1.01.03.094
INCENTIVO POR JUBILACION,2.1.1.01.03.104
REMUNERACION POR DEFUNCION,2.1.1.01.03.106
AUXILIOS SALUD VISUAL,2.1.1.01.03.107
AUXILIOS SALUD DENTAL,2.1.1.01.03.108
AUXILIOS MEDICOS,2.1.1.01.03.110
AUXILIOS EDUCATIVOS,2.1.1.01.03.111
AUXILIOS POR ANTIGÃœEDAD,2.1.1.01.03.112
AUXILIOS PARA RECREACION,2.1.1.01.03.113
AUXILIOS PARA DESPLAZAMIENTO,2.1.1.01.03.114
PRIMA COMPENSATORIA,2.1.1.01.03.115
BONIFICACION POR ALTO RIESGO,2.1.1.01.03.116
PRIMA ESPECIAL,2.1.1.01.03.117
BONIFICACION PERMANENTE EXTRALEGAL,2.1.1.01.03.121
TRANSPORTE RURAL DE CONCEJALES,2.1.1.01.03.125
PERSONAL SUPERNUMERARIO Y PLANTA TEMPORAL,2.1.1.02
FACTORES CONSTITUTIVOS DE SALARIO,2.1.1.02.01
FACTORES SALARIALES COMUNES,2.1.1.02.01.001
SUELDO BASICO,2.1.1.02.01.001.01
"HORAS EXTRAS, DOMINICALES, FESTIVOS Y RECARGOS",2.1.1.02.01.001.02
GASTOS DE REPRESENTACION,2.1.1.02.01.001.03
SUBSIDIO DE ALIMENTACION,2.1.1.02.01.001.04
AUXILIO DE TRANSPORTE,2.1.1.02.01.001.05
PRIMA DE SERVICIO,2.1.1.02.01.001.06
BONIFICACION POR SERVICIOS PRESTADOS,2.1.1.02.01.001.07
PRESTACIONES SOCIALES,2.1.1.02.01.001.08
PRIMA DE NAVIDAD,2.1.1.02.01.001.08.01
PRIMA DE VACACIONES,2.1.1.02.01.001.08.02
PRIMA TECNICA SALARIAL,2.1.1.02.01.001.09
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.1.1.02.01.001.10
AUXILIO DE CONECTIVIDAD DIGITAL,2.1.1.02.01.001.11
FACTORES SALARIALES ESPECIALES,2.1.1.02.01.002
PRIMA SEMESTRAL,2.1.1.02.01.002.04
PRIMAS EXTRAORDINARIAS,2.1.1.02.01.002.06
PRIMA DE ANTIGÃœEDAD,2.1.1.02.01.002.12
BENEFICIOS A LOS EMPLEADOS A CORTO PLAZO,2.1.1.02.01.002.12.01
BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,2.1.1.02.01.002.12.02
BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,2.1.1.02.01.002.22
"BONIFICACION PEDAGOGICA DOCENTES PRESCOLAR, BASICA Y MEDIA",2.1.1.02.01.002.32
CONTRIBUCIONES INHERENTES A LA NOMINA,2.1.1.02.02
APORTES A LA SEGURIDAD SOCIAL EN PENSIONES,2.1.1.02.02.001
APORTES A LA SEGURIDAD SOCIAL EN SALUD,2.1.1.02.02.002
APORTES DE CESANTIAS,2.1.1.02.02.003
APORTES A CAJAS DE COMPENSACION FAMILIAR,2.1.1.02.02.004
APORTES GENERALES AL SISTEMA DE RIESGOS LABORALES,2.1.1.02.02.005
APORTES AL ICBF,2.1.1.02.02.006
APORTES AL SENA,2.1.1.02.02.007
APORTES A LA ESAP,2.1.1.02.02.008
APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS,2.1.1.02.02.009
REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,2.1.1.02.03
PRESTACIONES SOCIALES,2.1.1.02.03.001
VACACIONES,2.1.1.02.03.001.01
INDEMNIZACION POR VACACIONES,2.1.1.02.03.001.02
BONIFICACION ESPECIAL DE RECREACION,2.1.1.02.03.001.03
ESTIMULOS A LOS EMPLEADOS DEL ESTADO,2.1.1.02.03.013
BONIFICACION DE DIRECCION,2.1.1.02.03.030
APOYO DE SOSTENIMIENTO APRENDICES SENA,2.1.1.02.03.062
PRIMA DE ALIMENTACION,2.1.1.02.03.072
PRIMA DE TRANSPORTE Y MANUTENCION,2.1.1.02.03.087
"BONIFICACION ZONA DE DIFICIL ACCESO DOCENTES PRESCOLAR, BASICA Y MEDIA",2.1.1.02.03.094
"BONIFICACION GRADO 14 DOCENTES PRESCOLAR, BASICA Y MEDIA",2.1.1.02.03.095
AUXILIOS EDUCATIVOS,2.1.1.02.03.104
RECONOCIMIENTO POR PERMANENCIA EN EL SERVICIO PUBLICO - BOGOTA D.C.,2.1.1.02.03.119
ADQUISICION DE BIENES Y SERVICIOS,2.1.2
ADQUISICION DE ACTIVOS NO FINANCIEROS,2.1.2.01
ACTIVOS FIJOS,2.1.2.01.01
EDIFICACIONES Y ESTRUCTURAS,2.1.2.01.01.001
VIVIENDAS,2.1.2.01.01.001.01
EDIFICIOS UTILIZADOS PARA RESIDENCIA,2.1.2.01.01.001.01.01
EDIFICACIONES DISTINTAS A VIVIENDAS,2.1.2.01.01.001.02
EDIFICIOS EDUCATIVOS,2.1.2.01.01.001.02.07
INSTALACIONES RECREATIVAS,2.1.2.01.01.001.02.11
OTROS EDIFICIOS NO RESIDENCIALES,2.1.2.01.01.001.02.14
OTRAS ESTRUCTURAS,2.1.2.01.01.001.03
"AUTOPISTAS, CARRETERAS, CALLES",2.1.2.01.01.001.03.02
"ACUEDUCTOS Y OTROS CONDUCTOS DE SUMINISTROS DE AGUAS, EXCEPTO GASODUCTOS",2.1.2.01.01.001.03.08
CONSTRUCCIONES DEPORTIVAS AL AIRE LIBRE,2.1.2.01.01.001.03.18
OTRAS OBRAS DE INGENIERIA CIVIL,2.1.2.01.01.001.03.19
MEJORAS DE TIERRAS Y TERRENOS,2.1.2.01.01.001.04
MAQUINARIA Y EQUIPO,2.1.2.01.01.003
MAQUINARIA PARA USO GENERAL,2.1.2.01.01.003.01
MOTORES Y TURBINAS Y SUS PARTES,2.1.2.01.01.003.01.01
"BOMBAS, COMPRESORES, MOTORES DE FUERZA HIDRAULICA Y MOTORES DE POTENCIA NEUMATICA Y VALVULAS Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.01.02
"COJINES, ENGRANAJES, RUEDAS DE FICCION Y ELEMENTOS DE TRANSMISION Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.01.03
EQUIPOS DE ELEVACION Y MANIPULACION Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.01.05
OTRAS MAQUINAS PARA USOS GENERALES Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.01.06
MAQUINARIA PARA USOS ESPECIALES,2.1.2.01.01.003.02
MAQUINARIA AGROPECUARIA O SILVICOLA Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.02.01
"MAQUINAS HERRAMIENTAS Y SUS PARTES, PIEZAS Y ACCESORIOS",2.1.2.01.01.003.02.02
"MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO, Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.02.05
APARATOS DE USO DOMESTICO Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.02.07
OTRA MAQUINARIA PARA USOS ESPECIALES Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.02.08
"MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMATICA",2.1.2.01.01.003.03
"MAQUINAS PARA OFICINA Y CONTABILIDAD, Y SUS PARTES Y ACCESORIOS",2.1.2.01.01.003.03.01
"MAQUINARIA DE INFORMATICA Y SUS PARTES, PIEZAS Y ACCESORIOS",2.1.2.01.01.003.03.02
MAQUINARIA Y APARATOS ELECTRICOS,2.1.2.01.01.003.04
"MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.04.01
APARATOS DE CONTROL ELECTRICO Y DISTRIBUCION DE ELECTRICIDAD Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.04.02
"HILOS Y CABLES AISLADOS, CABLE DE FIBRA OPTICA",2.1.2.01.01.003.04.03
"ACUMULADORES, PILAS Y BATERIAS PRIMARIAS Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.04.04
"LAMPARAS ELECTRICAS DE INCANDESCENCIA O DESCARGA LAMPARAS DE ARCO, EQUIPO PARA ALUMBRADO ELECTRICO, SUS PARTES Y PIEZAS",2.1.2.01.01.003.04.05
OTRO EQUIPO ELECTRICO Y SUS PARTES Y PIEZAS,2.1.2.01.01.003.04.06
"EQUIPO Y APARATOS DE RADIO, TELEVISION Y COMUNICACIONES",2.1.2.01.01.003.05
"VALVULAS Y TUBOS ELECTRONICOS, COMPONENTES ELECTRONICOS, SUS PARTES Y PIEZAS",2.1.2.01.01.003.05.01
"APARATOS TRANSMISORES DE TELEVISION Y RADIO, TELEVISION, VIDEO Y CAMARAS DIGITALES, TELEFONOS",2.1.2.01.01.003.05.02
"RADIORRECEPTORES Y RECEPTORES DE TELEVISION, APARATOS PARA LA GRABACION Y REPRODUCCION DE SONIDO Y VIDEO, MICROFONOS, ALTAVOCES, AMPLIFICADORES, ETC.",2.1.2.01.01.003.05.03
PARTES Y PIEZAS DE LOS PRODUCTOS DE LAS CLASES 4721 A 4733 Y 4822,2.1.2.01.01.003.05.04
"DISCOS, CINTAS, DISPOSITIVOS DE ALMACENAMIENTO EN ESTADO SOLIDO NO VOLATILES Y OTROS MEDIOS, NO GRABADOS",2.1.2.01.01.003.05.05
"GRABACIONES DE AUDIO, VIDEO Y OTROS DISCOS, CINTAS Y OTROS MEDIOS FISICOS",2.1.2.01.01.003.05.06
TARJETAS CON BANDAS MAGNETICAS O PLAQUETAS CHIP,2.1.2.01.01.003.05.07
"APARATOS MEDICOS, INSTRUMENTOS OPTICOS Y DE PRECISION, RELOJES",2.1.2.01.01.003.06
APARATOS MEDICOS Y QUIRURGICOS Y APARATOS ORTESICOS Y PROTESICOS,2.1.2.01.01.003.06.01
"INSTRUMENTOS Y APARATOS DE MEDICION, VERIFICACION, ANALISIS, DE NAVEGACION Y PARA OTROS FINES EXCEPTO INSTRUMENTOS OPTICOS INSTRUMENTOS DE CONTROL DE PROCESOS INDUSTRIALES, SUS PARTES, PIEZAS Y ACCESORIOS",2.1.2.01.01.003.06.02
"INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRAFICO, PARTES, PIEZAS Y ACCESORIOS",2.1.2.01.01.003.06.03
EQUIPO DE TRANSPORTE,2.1.2.01.01.003.07
"VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES, Y SUS PARTES, PIEZAS Y ACCESORIOS",2.1.2.01.01.003.07.01
BUQUES,2.1.2.01.01.003.07.03
"OTRO EQUIPO DE TRANSPORTE, Y SUS PARTES Y PIEZAS",2.1.2.01.01.003.07.07
MOTOCICLETAS Y SIDECARES VEHICULOS LATERALES A LAS MOTOCICLETAS,2.1.2.01.01.003.07.07.01
PARTES Y PIEZAS PARA LOS PRODUCTOS DE LAS CLASES 4991 Y 4992,2.1.2.01.01.003.07.07.04
ACTIVOS FIJOS NO CLASIFICADOS COMO MAQUINARIA Y EQUIPO,2.1.2.01.01.004
"MUEBLES, INSTRUMENTOS MUSICALES, ARTICULOS DE DEPORTE Y ANTIGÃœEDADES",2.1.2.01.01.004.01
MUEBLES,2.1.2.01.01.004.01.01
ASIENTOS,2.1.2.01.01.004.01.01.01
MUEBLES DEL TIPO UTILIZADO EN LA OFICINA,2.1.2.01.01.004.01.01.02
"MUEBLES DE MADERA, DEL TIPO USADO EN LA COCINA",2.1.2.01.01.004.01.01.03
OTROS MUEBLES N.C.P.,2.1.2.01.01.004.01.01.04
PARTES Y PIEZAS DE MUEBLES,2.1.2.01.01.004.01.01.06
INSTRUMENTOS MUSICALES,2.1.2.01.01.004.01.02
ARTICULOS DE DEPORTE,2.1.2.01.01.004.01.03
OTROS ACTIVOS FIJOS,2.1.2.01.01.005
PRODUCTOS DE LA PROPIEDAD INTELECTUAL,2.1.2.01.01.005.02
INVESTIGACION Y DESARROLLO,2.1.2.01.01.005.02.01
EXPLOTACION Y EVALUACION MINERA,2.1.2.01.01.005.02.02
"OBTENCION DE LICENCIAS, ADQUISICION Y AVALUOS",2.1.2.01.01.005.02.02.03
PROGRAMAS DE INFORMATICA Y BASES DE DATOS,2.1.2.01.01.005.02.03
PROGRAMAS DE INFORMATICA,2.1.2.01.01.005.02.03.01
PAQUETES DE SOFTWARE,2.1.2.01.01.005.02.03.01.01
GASTOS DE DESARROLLO,2.1.2.01.01.005.02.03.01.02
BASES DE DATOS,2.1.2.01.01.005.02.03.02
"ORIGINALES DE ENTRETENIMIENTO, LITERATURA Y ARTE",2.1.2.01.01.005.02.04
OTROS PRODUCTOS DE PROPIEDAD INTELECTUAL,2.1.2.01.01.005.02.05
OBJETOS DE VALOR,2.1.2.01.02
JOYAS Y ARTICULOS CONEXOS,2.1.2.01.02.001
OTROS OBJETOS VALIOSOS,2.1.2.01.02.003
ACTIVOS NO PRODUCIDOS,2.1.2.01.03
TIERRAS Y TERRENOS,2.1.2.01.03.001
ADQUISICIONES DIFERENTES DE ACTIVOS,2.1.2.02
MATERIALES Y SUMINISTROS,2.1.2.02.01
"AGRICULTURA, SILVICULTURA Y PRODUCTOS DE LA PESCA",2.1.2.02.01.000
"MINERALES, ELECTRICIDAD, GAS Y AGUA",2.1.2.02.01.001
"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO",2.1.2.02.01.002
"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.1.2.02.01.003
PRODUCTOS METALICOS Y PAQUETES DE SOFTWARE,2.1.2.02.01.004
ADQUISICION DE SERVICIOS,2.1.2.02.02
CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION,2.1.2.02.02.005
"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA",2.1.2.02.02.006
SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING,2.1.2.02.02.007
SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION,2.1.2.02.02.008
"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES",2.1.2.02.02.009
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.1.2.02.02.010
TRANSFERENCIAS CORRIENTES,2.1.3
SUBVENCIONES,2.1.3.01
A EMPRESAS PUBLICAS NO FINANCIERAS,2.1.3.01.02
SUBVENCIONES A EMPRESAS DE TRANSPORTE MASIVO,2.1.3.01.02.003
SUBVENCIONES PARA SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE Y SANEAMIENTO BASICO,2.1.3.01.02.004
SUBSIDIOS DE ACUEDUCTO,2.1.3.01.02.004.01
SUBSIDIOS DE ALCANTARILLADO,2.1.3.01.02.004.02
SUBSIDIOS DE ASEO,2.1.3.01.02.004.03
TRANSFERENCIAS PARA EMPRESAS SOCIALES DEL ESTADO,2.1.3.01.02.005
A EMPRESAS PRIVADAS NO FINANCIERAS,2.1.3.01.04
SUBVENCIONES PARA SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE Y SANEAMIENTO BASICO,2.1.3.01.04.004
SUBSIDIOS DE ACUEDUCTO,2.1.3.01.04.004.01
SUBSIDIOS DE ALCANTARILLADO,2.1.3.01.04.004.02
TRANSFERENCIAS A LOS ADMINISTRADORES DE INFRAESTRUCTURA PUBLICA,2.1.3.01.04.005
A EMPRESAS DIFERENTE DE SUBVENCIONES,2.1.3.02
ACTIVIDADES DE ATENCION A LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,2.1.3.02.01
CAMPANA Y CONTROL ANTITUBERCULOSIS,2.1.3.02.01.001
PLAN NACIONAL DE SALUD RURAL,2.1.3.02.01.002
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.01.999
"AGRICULTURA, GANADERIA, CAZA, SILVICULTURA Y PESCA",2.1.3.02.02
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.02.999
OTRAS ACTIVIDADES DE SERVICIOS,2.1.3.02.07
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.07.999
"COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS",2.1.3.02.08
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.08.999
"DISTRIBUCION DE AGUA, EVACUACION Y TRATAMIENTO DE AGUAS RESIDUALES, GESTION DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO AMBIENTAL",2.1.3.02.09
TRANSFERENCIA A LA CORPORACION AUTONOMA REGIONAL DEL RIO GRANDE DE LA MAGDALENA - CORMAGDALENA,2.1.3.02.09.001
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2.1.3.02.10
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.10.999
EXPLOTACION DE MINAS Y CANTERAS,2.1.3.02.11
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.11.999
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,2.1.3.02.17
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.1.3.02.17.999
A GOBIERNOSY ORGANIZACIONES INTERNACIONALES,2.1.3.03
A ORGANIZACIONES INTERNACIONALES,2.1.3.03.02
UNITED STATES TOUR OPERATORS ASSOCIATION - USTOA,2.1.3.03.02.150
MEMBRESIAS,2.1.3.03.02.150.01
A OTRAS ORGANIZACIONES INTERNACIONALES,2.1.3.03.03
MEMBRESIAS,2.1.3.03.03.01
DISTINTAS A MEMBRESIAS,2.1.3.03.03.02
A ORGANIZACIONES NACIONALES,2.1.3.04
FEDERACION NACIONAL DE DEPARTAMENTOS,2.1.3.04.01
MEMBRESIAS,2.1.3.04.01.001
DISTINTAS A MEMBRESIAS,2.1.3.04.01.002
FEDERACION NACIONAL DE MUNICIPIOS,2.1.3.04.02
MEMBRESIAS,2.1.3.04.02.001
DISTINTAS A MEMBRESIAS,2.1.3.04.02.002
ASOCIACION COLOMBIANA DE CIUDADES CAPITALES,2.1.3.04.04
MEMBRESIAS,2.1.3.04.04.001
DISTINTAS A MEMBRESIAS,2.1.3.04.04.002
A OTRAS ORGANIZACIONES NACIONALES,2.1.3.04.05
MEMBRESIAS,2.1.3.04.05.001
DISTINTAS A MEMBRESIAS,2.1.3.04.05.002
A ENTIDADES DEL GOBIERNO,2.1.3.05
A ORGANOS DEL PGN,2.1.3.05.01
"ADMINISTRACION, FUNCIONAMIENTO E INFRAESTRUCTURA DEL REGISTRO NACIONAL DE MEDIDAS CORRECTIVAS",2.1.3.05.01.061
TRANSFERENCIA A LA POLICIA NACIONAL POR MULTAS CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA,2.1.3.05.01.063
DEVOLUCION DE APORTES A LA NACION,2.1.3.05.01.064
SERVICIO DE POLICIA EN MODALIDAD DE VIGILANCIA,2.1.3.05.01.067
"ADMINISTRACION, FUNCIONAMIENTO E INFRAESTRUCTURA DEL SISTEMA UNICO DE INFORMACION DE RECAUDO, REGISTRO Y TRANSACCION DE MULTAS DEL CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA",2.1.3.05.01.068
SISTEMA GENERAL DE PARTICIPACIONES,2.1.3.05.02
PARTICIPACION PARA EDUCACION,2.1.3.05.02.001
CANCELACION DE PRESTACIONES SOCIALES DEL MAGISTERIO,2.1.3.05.02.001.02
PARTICIPACIONES DISTINTAS DEL SGP,2.1.3.05.04
PARTICIPACIONES DE IMPUESTOS,2.1.3.05.04.001
PARTICIPACION DEL IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2.1.3.05.04.001.02
PARTICIPACION PROVIDENCIA,2.1.3.05.04.001.03
PARTICIPACION DEL IMPUESTO DE REGISTRO,2.1.3.05.04.001.05
PARTICIPACION DEL IMPUESTO ADICIONAL DEL 10% A LAS CAJETILLAS DE CIGARRILLOS NACIONALES,2.1.3.05.04.001.06
PARTICIPACION DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2.1.3.05.04.001.07
PARTICIPACION DEL IMPUESTO AL DEGÃœELLO DE GANADO MAYOR EN LOS TERMINOS QUE LO DEFINA LA ORDENANZA,2.1.3.05.04.001.08
PARTICIPACION DE LA SOBRETASA AMBIENTAL,2.1.3.05.04.001.13
TRANSFERENCIA DE LA SOBRETASA AMBIENTAL A LAS CORPORACIONES AUTONOMAS REGIONALES,2.1.3.05.04.001.13.01
TRANSFERENCIA DE LA SOBRETASA AMBIENTAL A LAS AREAS METROPOLITANAS,2.1.3.05.04.001.13.02
PARTICIPACION SOBRETASA A LA GASOLINA - FONDO SUBSIDIO SOBRETASA A LA GASOLINA,2.1.3.05.04.001.14
PARTICIPACION AMBIENTAL DEL RECAUDO DEL IMPUESTO PREDIAL,2.1.3.05.04.001.15
PARTICIPACION EN ESTAMPILLAS,2.1.3.05.04.001.16
"PARTICIPACIONES DE MULTAS, SANCIONES E INTERESES MORATORIOS",2.1.3.05.04.003
PARTICIPACION DE SANCIONES DEL IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2.1.3.05.04.003.01
PARTICIPACION DE INTERESES DE MORA SOBRE EL IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2.1.3.05.04.003.02
PARTICIPACION DE INTERESES DE MORA SOBRE LA SOBRETASA AMBIENTAL,2.1.3.05.04.003.03
A ENTIDADES TERRITORIALES DISTINTAS DE COMPENSACIONES Y PARTICIPACIONES,2.1.3.05.07
TRANSFERIR A LAS ENTIDADES TERRITORIALES PARA APOYAR LA OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR LEY 1530 DEL 2012,2.1.3.05.07.013
"SEGUIMIENTO, ACTUALIZACION DE CALCULOS ACTUARIALES, DISEÃ‘O DE ADMON. FINANCIERA DEL PASIVO PENSIONAL DE LAS ENTIDADES TERRITORIALES ARTICULO 48 DE LA LEY 863 DEL 2003",2.1.3.05.07.015
A ESQUEMAS ASOCIATIVOS,2.1.3.05.08
REGION ADMINISTRATIVA DE PLANIFICACION ESPECIAL-RAPE,2.1.3.05.08.001
